,site,retweetCount,quoteCount,likeCount,replyCount,rawContent,retweetedTweet,quotedTweet,real,preprocessedContent
0,mejorestwits,102,3,323,1,"Medidas de ""Contención"" jajaja https://t.co/wAQe4rZ4Ir",False,False,0,"Medidas de ""Contención"" jajaja <URL>"
1,mejorestwits,221,10,762,5,Cuando te emborrachas y terminas  bebiendo con gente que no conocías https://t.co/ZptAdC7TbL,False,False,0,Cuando te emborrachas y terminas  bebiendo con gente que no conocías <URL>
2,mejorestwits,125,1,370,0,#jordihurtado https://t.co/wiuJeNU6O6,False,False,0,<HASH_TAG> <URL>
3,mejorestwits,255,8,697,1,https://t.co/rfN3IJhWPP,False,False,0,<URL>
4,mejorestwits,113,4,304,0,Este verano va a ser un 'quien pone casa' continuo,False,False,0,Este verano va a ser un 'quien pone casa' continuo
5,mejorestwits,485,28,1301,3,España en el Verano https://t.co/2OJ4x11EdA,False,False,0,España en el Verano <URL>
6,mejorestwits,119,4,483,0,https://t.co/JYHNxFSNgO,False,False,0,<URL>
7,mejorestwits,391,8,1400,3,Una persona responsable desinfectando su coca-cola https://t.co/zyHZYwWhIt,False,False,0,Una persona responsable desinfectando su coca-cola <URL>
8,mejorestwits,328,3,426,0,https://t.co/jsAhyfNjJz,False,False,0,<URL>
9,mejorestwits,166,6,477,3,https://t.co/rk2L3fqn93,False,False,0,<URL>
10,mejorestwits,227,12,1080,2,"MI ABUELA: EN ESTOS TIEMPOS SOLO PIENSAN EN SEXO

MI ABUELA EN SUS TIEMPOS https://t.co/nr8cER726L",False,False,0,"MI ABUELA: EN ESTOS TIEMPOS SOLO PIENSAN EN SEXO

MI ABUELA EN SUS TIEMPOS <URL>"
11,mejorestwits,111,0,287,0,"🇫🇷 El 11 de mayo empieza la fase 1
🇩🇪 El 11 de mayo empieza la fase 1
🇮🇹 El 11 de mayo empieza la fase 1
🇬🇧 El 11 de mayo empieza la fase 1
🇪🇸 Envía Salvar + NOMBRE DE  TU COMUNIDAD AUTÓNOMA al 00765 ¡¡Que empiece el juego!! VÍA @FrasesMadeSpain",False,False,0," El 11 de mayo empieza la fase 1
 El 11 de mayo empieza la fase 1
 El 11 de mayo empieza la fase 1
 El 11 de mayo empieza la fase 1
 Envía Salvar + NOMBRE DE  TU COMUNIDAD AUTÓNOMA al 00765 ¡¡Que empiece el juego!! VÍA <USUARIO>"
12,mejorestwits,0,0,1,0,@nekoo_jdr @MiniBelaus Extramadura ya ha pasado de fase directamente,False,False,0,<USUARIO> <USUARIO> Extramadura ya ha pasado de fase directamente
13,mejorestwits,126,9,317,12,"Los puntos de Fernando Simón, Baleares pasa a la Fase 1 como cabeza de grupo y caen Barcelona y Madrid que irán a la repesca. Esto ha sido todo desde Covidvisión, chicos. Gala 0. https://t.co/aKRNxh79Lb",False,False,0,"Los puntos de Fernando Simón, Baleares pasa a la Fase 1 como cabeza de grupo y caen Barcelona y Madrid que irán a la repesca. Esto ha sido todo desde Covidvisión, chicos. Gala 0. <URL>"
14,mejorestwits,433,23,1082,18,Cada vez más claro que nos vamos a extinguir https://t.co/6Ht7QwDRGd,False,False,0,Cada vez más claro que nos vamos a extinguir <URL>
15,mejorestwits,200,9,672,3,https://t.co/vSHcla0O53,False,False,0,<URL>
16,mejorestwits,124,5,457,3,Si Fernando Simon se ha puesto outfit de Verano. Es que ya es verano. No hay nadie de quien me fie mas. https://t.co/z7P1n3mQWg,False,False,0,Si Fernando Simon se ha puesto outfit de Verano. Es que ya es verano. No hay nadie de quien me fie mas. <URL>
17,mejorestwits,149,5,441,2,"- ¿Ha salido hoy usted a correr a las 6 de la mañana?
- Claro, cariño soy RANER https://t.co/GtOMZM4nLT",False,False,0,"- ¿Ha salido hoy usted a correr a las 6 de la mañana?
- Claro, cariño soy RANER <URL>"
18,mejorestwits,392,12,1108,2,https://t.co/v1Q3HmSXhc,False,False,0,<URL>
19,mejorestwits,211,3,727,2,https://t.co/QeYi7fKETA,False,False,0,<URL>
20,mejorestwits,212,9,758,1,"Yo en mi infancia, sin ninguna razón https://t.co/7fSmBNQOme",False,False,0,"Yo en mi infancia, sin ninguna razón <URL>"
21,mejorestwits,303,8,678,3,https://t.co/tkC4rsq94u,False,False,0,<URL>
22,mejorestwits,152,5,512,0,https://t.co/HEtXW5t1rt,False,False,0,<URL>
23,mejorestwits,194,5,360,0,"Oír un te quiero durante estos días es muy bonito, pero cuando el camarero me diga te pongo otra, se me van a saltar las lágrimas",False,False,0,"Oír un te quiero durante estos días es muy bonito, pero cuando el camarero me diga te pongo otra, se me van a saltar las lágrimas"
24,mejorestwits,121,6,470,6,"- Te ha cortado el pelo tu novia, verdad?
- Si tio... https://t.co/7po6cTenw7",False,False,0,"- Te ha cortado el pelo tu novia, verdad?
- Si tio... <URL>"
25,mejorestwits,1050,32,1430,14,"Calendario que propone el gobierno para volver a la normalidad.
Fase 0 - 4 de mayo
Fase 1 - 11 de mayo 
Fase 2 - 26 mayo 
Fase 3 - 10 de junio 

Normalidad - 25 de junio 

Por favor, a todos:

NO HAGÁIS EL GILIPOLLAS",False,False,0,"Calendario que propone el gobierno para volver a la normalidad.
Fase 0 - 4 de mayo
Fase 1 - 11 de mayo 
Fase 2 - 26 mayo 
Fase 3 - 10 de junio 

Normalidad - 25 de junio 

Por favor, a todos:

NO HAGÁIS EL GILIPOLLAS"
